72432,Algar Telecom
72433,Algar Telecom
72434,Algar Telecom
72439,Nextel Brasil
730001,ENTEL PCS
730002,Movistar
730003,CLARO CHL
730007,Movistar
73008,CHL VTR
73009,WOM 3G
73009,WOM LTE
730010,ENTEL PCS
730730,CHL Movistar
732101,Claro
732103,TIGO
732111,TIGO
732123,Movistar
732130,Avantel
732187,ETB 4G
73402,DIGITEL GSM
73402,DIGITEL
73404,Movistar
73406,VE_MOVILNET
736001,VIVA
73602,BOMOV
736003,TIGO
73801,Digicel
73802,GUY GTT + Do More
740000,Movistar
74001,CLARO
740002,CNT
744001,HOLA PARAGUAY S.A.
744002,CLARO PY
744004,TIGO PY
744005,PY Personal
74602,SR.TELESUR.GSM
74603,DIGICEL
74604,UNIQA
74801,Antel
748007,Movistar
748010,CLARO URUGUAY
75001,Sure FLK
79502,TM CELL
90111,Inmarsat
90112,MCP NO
90114,AeroMobile
90115,OnAir
90126,TIM@sea
90145,AISatSea
99899,UZMOBILE
